year,G,Opp Rush,Opp Rush Yds,Yds/Rush,Opp Rush TDs,YPG
2014,12.736,496.816,2154.72,4.30576,21.176,170.1352
2015,12.77952756,500.5511811,2177.11811,4.321496063,21.18110236,171.3622047
2016,12.7578125,502.7578125,2220.84375,4.385234375,22.3359375,175.5351563
2017,12.7394958,483.5042017,2043.084034,4.219663866,19.85714286,161.205042
2018,12.74418605,492.2790698,2143.255814,4.326666667,21.50387597,169.3527132
2019,12.79069767,480.0852713,2036.550388,4.219844961,20.21705426,160.3713178
2021,12.74615385,471.7153846,1979.330769,4.182846154,19.6,156.3576923
2022,12.78294574,465.9147287,1937.612403,4.135271318,19.35658915,152.2744186
2023,12.8,454.6384615,1905.607692,4.177307692,19.02307692,149.6569231
2024,12.81954887,458.518797,1942.571429,4.229172932,19.7593985,152.662406
